caption,response
มีใครใจดี  จะอาสา  บริจาคเลือดให้หนูบ้าง  หนูจะเข้าห้องผ่าตัดสมอง  ด้วยอาการ #โรคโมยาโมยา  ในวันที่ 23/8/58 ทาง รพ.. บอกให้หาคนมาบริจาคเลือดให้ด้วย  ตอนนี้คุยรายละเอียด ค่าใช้จ่ายในการผ่าตัดใหญ่ครั้งนี้ // รายละเอียดการบริจาคเลือด  จะแจ้งให้ทราบอีกที  ขอบคุณผู้ใจบุญล่วงหน้า  #รามาธิบดี #moyamoya,Yes
แค่เดินผ่านมาแล้วเดินมาเจอ เลยแวะดูสักหน่อย ฮิฮิ #รามาธิบดี,Yes
"Belo 😘 @thanachotek 
รู้ยางงงง? เอกเป็นงูสวัส555555 
เด็กดื้อ ไม่ดูแลตัวเอง งอแง บ้าบอ ..บ้ง!!!55😬 งานดี งาน #รามาธิบดี 😘✨",Yes
บ่นคิดถึงพี่แอนตั้งหลายวัน วันนี้ก็ได้เจอจนได้ ก่อนกลับบ้านไปสอบพอดี ดี๊ดี ❤️ @annethong  #รามาธิบดี,No
เปิดเถิกมาคณะเพลินอาสาครัช !! #รามาธิบดี,No
คำว่า....ให้ ไม่สิ้นสุด#รามาธิบดี#,Yes
"เรียน ม.ปลายด้วยกันมา 3 ปี
แยกย้ายกันไปตั้ง 4 ปี
แต่ตอนนี้ ทำงานที่เดียวกันนะครัช#ลูกขาวแดง#รามาธิบดี","No. The message does not mention any aspect related to Ramathibodi Hospital, Mahidol University."
สถาบันนี้มีความสำคัญ #รามาธิบดี#RA51,Yes
กว่าจะได้รุ่นมา เลือดตาแทบกระเด็น😂😂 #ใครบอกเลือดตาน้ำตาต่างหาก #รามาธิบดีรุ่น51เต็มตัวแล้วนะรู้ยัง #ขอบคุณพี่ๆมากๆนะคะ #รักเพื่อนฝุดฝุดดด #กลุ่มห้าที่สุดของนักศึกษาแพทย์หน้าตาดี #RASecondDate,Yes
#สวยเซี๊ยะเปรี๊ยะระเบิด @aff_taksaorn hair @ple_theerada @huamakeup #huamakeup #รามาธิบดี,"No. The message is discussing beauty and makeup, unrelated to Ramathibodi."
มาอีกแล้ว #รามาธิบดี ✌🏼️✌🏼😉😉,Yes
...คำว่าให้ไม่สิ้นสุด 😁😅 #รามาธิบดี #give,Yes
"!! ความสุขของป๋าดันคือการที่เด็กในคาถาสมหวัง !!
ขอแสดงความยินดีอย่างเป็นทางการแก่รุ่นน้องศิริราชที่รักทั้ง 3 คน กับการได้ Resident Skin ดังหวังนะคับ ย้อนไปเกือบ 2 ปีก่อน ดีใจที่พี่ได้มีโอกาสชี้แนะ ร่วมลุ้น เป็นกำลังใจให้น้องๆทั้ง 3 จนวันนี้ทุกคนได้ดังหวังแร้ววว ยินดีกะเพชรกับ Resident Skin สถาบันโรคผิวหนัง ตามรอยพี่ ยินดีกะพีช กับ Resident Skin ศิริราช และล่าสุด ยินดีกะจ๋า Resident Skin รามา นะคับบ เก่งและรักทุกคนนน #ศิริราชรุ่น116กะ117 #Resident2 #Resident1 #Skin #สถาบันโรคผิวหนัง #ศิริราช #รามาธิบดี",No
"เสร๊จจากตรวจ
ก็มาให้โลหิตต่อ
วันนี้คนน้อย มึก่อนหน้าคนแล้วก็เรา
เขิญชวนมากันนะ
#รามาธิบดี",Yes
"ฝึกงานอาทิตย์ที่สอง
#รามาธิบดี 
#ฝันดีครับผม","Yes. The message mentions ""รามาธิบดี"" and includes hashtags related to Ramathibodi."
"ฝึกงานหนึ่งอาทิตย์
ได้ฉายาไปสามสี่ฉายา
ท่าทางชื่อหนูจะจำยาก
#สนุกกะการฝึกงาน
#เฮฮาได้ทุกวัน
#รามาธิบดี",Yes
_x0008_#เพื่อนตัดกันไม่ขาด #BCNB66 #เลิฟเทอนะ #กำลังใจ #จะเต็มที่กับมัน #รามาธิบดี,No.
"#รามา-เสาวรีย์
#muvmi ฟรี
#carbonfree 😎🌿",No
โรงพยาบาลรามาธิบดี กับเตียงผู้ป่วย B-MED  #เตียงผู้ป่วย  #BMED #บ้านหมอ #รามา,Yes
"หลีกทางด่วน! ภารกิจชีวิต รถโรงพยาบาลพิจิตร ส่งตัว ""กู้ภัยช่วยน้ำท่วม"" ประสบอุบัติเหตุ ถึง กทม.แล้ว เร่งมุ่งหน้า ""รพ.รามาธิบดี""
.
#กู้ภัย #ภารกิจชีวิต #น้ำท่วม #รามา #คลิปโซเชียล  #ไทยรัฐทีวี32",Yes
